Date,Price,Open,High,Low,Vol.,Change %
21-03-2023,411.28,411.58,412.63,406.45,7.39M,0.44%
22-03-2023,414.82,414.72,417.11,412.48,5.73M,0.86%
23-03-2023,417.86,414.72,421.2,414.72,9.82M,0.73%
24-03-2023,415.22,417.71,419.26,413.52,6.88M,-0.63%
27-03-2023,410.78,414.72,417.21,408.99,7.43M,-1.07%
28-03-2023,400.36,412.88,413.23,399.22,9.55M,-2.54%
29-03-2023,407.94,400.36,409.34,400.36,10.48M,1.89%
31-03-2023,419.51,410.08,420.45,409.74,11.04M,2.83%
01-04-2023,384.41,393.59,393.59,383.82,16.12M,-2.11%
05-04-2023,479.32,482.11,484.9,477.28,5.65M,-0.60%
07-04-2023,589.63,592.57,594.57,587.69,6.92M,0.11%
08-04-2023,613.11,622.93,623.08,611.41,11.81M,-0.64%
09-04-2023,607.13,613.71,613.71,604.14,8.39M,-0.36%
10-04-2023,611.71,618.89,618.89,606.43,7.61M,-1.10%
12-04-2023,703.43,713.8,714.79,702.63,9.35M,0.02%
13-04-2023,468.06,463.52,470.55,461.83,12.73M,0.86%
17-04-2023,470.7,469.55,471.55,464.37,10.71M,0.56%
18-04-2023,471.55,473.54,481.86,466.66,16.14M,0.18%
19-04-2023,467.96,471.55,474.04,466.41,7.37M,-0.76%
20-04-2023,475.33,472.24,478.22,467.96,14.26M,1.58%
21-04-2023,469.75,475.23,475.23,465.76,8.48M,-1.17%
24-04-2023,473.74,469.75,474.54,466.86,8.02M,0.85%
25-04-2023,472.09,473.74,474.93,470.45,6.89M,-0.35%
26-04-2023,476.73,471.55,478.02,471.15,7.79M,0.98%
27-04-2023,480.12,477.03,480.52,475.03,7.09M,0.71%
28-04-2023,483.46,479.92,486.5,476.88,9.95M,0.70%
01-05-2023,385.71,386.71,387.55,381.32,10.44M,0.34%
04-05-2023,425.24,422.95,427.43,421.85,8.82M,0.54%
05-05-2023,475.63,480.17,483.21,474.68,4.83M,-0.77%
06-05-2023,544.57,537.34,547.11,536.24,15.01M,1.93%
07-05-2023,586.44,590.18,591.18,583.15,8.72M,-0.54%
09-05-2023,609.27,608.12,617,606.18,8.56M,0.35%
10-05-2023,617.69,617.1,619.44,612.76,7.89M,0.98%
12-05-2023,706.77,703.73,712.7,702.83,9.60M,0.47%
15-05-2023,529.22,522.24,535.5,519.9,38.27M,2.89%
16-05-2023,519.55,532.31,534.3,517.25,16.51M,-1.83%
17-05-2023,513.91,520.89,522.34,510.92,13.68M,-1.08%
18-05-2023,506.89,517.2,519.3,505.54,12.29M,-1.37%
19-05-2023,523.34,508.23,524.78,503.2,19.34M,3.25%
22-05-2023,520.89,523.34,525.38,517.75,9.98M,-0.47%
23-05-2023,526.87,520.89,529.37,519.55,12.26M,1.15%
24-05-2023,518.6,525.53,528.02,517.55,7.65M,-1.57%
25-05-2023,513.27,516.41,516.41,507.53,11.54M,-1.03%
26-05-2023,516.85,513.32,518.15,510.62,8.36M,0.70%
29-05-2023,519.85,523.39,523.48,518.1,6.60M,0.58%
30-05-2023,517.2,519.85,521.89,516.41,5.13M,-0.51%
31-05-2023,524.68,518.35,525.88,514.81,12.33M,1.45%
01-06-2023,380.83,384.91,387.2,379.83,8.72M,-1.27%
02-06-2023,440.64,443.08,445.63,438.2,6.80M,-0.77%
03-06-2023,438.75,429.62,440.09,428.68,11.31M,2.83%
04-06-2023,436.3,425.19,437.95,422.45,10.91M,2.60%
06-06-2023,554.04,547.76,555.29,543.67,15.40M,1.74%
07-06-2023,598.95,588.98,603.09,586.74,14.36M,2.13%
09-06-2023,608.37,609.27,610.67,603.74,6.52M,-0.15%
10-06-2023,620.53,625.07,625.42,618.09,7.92M,0.46%
11-06-2023,644.06,650.84,650.84,641.22,10.80M,-0.22%
12-06-2023,720.23,706.87,722.57,706.82,12.15M,1.90%
13-06-2023,560.47,565.95,569.29,559.03,12.85M,-0.35%
14-06-2023,568.55,564.26,569.44,562.27,12.71M,1.44%
15-06-2023,566.7,570.04,573.23,566,12.48M,-0.32%
16-06-2023,568.05,567.9,570.44,564.31,8.74M,0.24%
19-06-2023,564.31,568.9,571.44,562.47,6.28M,-0.66%
20-06-2023,581.46,564.31,582.15,560.77,18.07M,3.04%
21-06-2023,579.61,583.15,584.1,572.73,9.15M,-0.32%
22-06-2023,567.6,582.2,582.9,566.45,11.23M,-2.07%
23-06-2023,557.93,568.25,569.39,555.98,9.36M,-1.70%
26-06-2023,566.1,558.28,567.25,556.08,6.99M,1.47%
27-06-2023,571.34,568.25,575.13,566.7,9.40M,0.92%
28-06-2023,584.84,577.22,588.18,573.73,16.72M,2.36%
30-06-2023,593.72,586.54,597.16,586.19,12.49M,1.52%
02-07-2023,434.11,440.34,442.04,431.57,9.02M,-1.48%
06-07-2023,566.2,557.08,573.23,550.45,20.86M,2.20%
07-07-2023,616.3,598.15,622.88,590.38,21.07M,2.90%
08-07-2023,607.63,617.1,617.1,606.63,9.89M,-0.89%
09-07-2023,613.01,609.02,614.6,607.18,6.52M,0.76%
11-07-2023,643.02,643.02,647.9,641.32,6.59M,-0.16%
12-07-2023,719.73,722.77,725.26,713.8,10.45M,-0.07%
13-07-2023,618.74,623.08,624.57,613.61,9.69M,-0.13%
14-07-2023,622.98,621.08,624.07,617.59,7.01M,0.68%
17-07-2023,616.6,624.97,625.07,615.25,7.58M,-1.02%
18-07-2023,610.22,618.49,618.94,605.13,10.36M,-1.03%
19-07-2023,618.69,612.11,623.38,608.27,11.13M,1.39%
20-07-2023,619.74,620.73,621.68,614.3,7.83M,0.17%
21-07-2023,623.83,619.09,629.06,615.8,12.91M,0.66%
24-07-2023,627.31,626.02,632.5,624.32,12.25M,0.56%
25-07-2023,637.48,634.04,640.52,631.4,13.99M,1.62%
26-07-2023,639.13,638.03,663.35,637.03,31.67M,0.26%
27-07-2023,641.72,645.01,646.46,634.79,11.70M,0.41%
28-07-2023,633.35,644.01,644.01,629.86,9.30M,-1.30%
31-07-2023,642.32,638.23,643.56,633.94,7.50M,1.42%
02-08-2023,438.75,434.11,439.64,430.22,8.67M,1.07%
03-08-2023,437.95,437.65,439.89,434.76,7.85M,-0.18%
05-08-2023,498.96,478.52,500.76,476.63,23.52M,4.90%
06-08-2023,557.98,568.25,574.78,555.29,21.53M,-1.45%
08-08-2023,605.43,610.67,612.86,603.39,8.86M,-0.36%
09-08-2023,625.32,616.05,626.97,612.31,16.19M,2.01%
11-08-2023,640.57,646.01,647.05,639.93,6.55M,-0.38%
12-08-2023,712.35,719.83,725.36,705.32,8.56M,-1.02%
14-08-2023,605.48,610.12,610.12,592.67,14.49M,-0.73%
16-08-2023,616.85,604.83,619.44,595.46,14.56M,1.88%
17-08-2023,611.86,618.09,620.09,609.12,12.12M,-0.81%
18-08-2023,613.91,610.91,618.19,609.02,11.19M,0.33%
21-08-2023,618.59,615.1,621.38,612.91,9.58M,0.76%
22-08-2023,618.29,619.89,624.57,616.7,8.53M,-0.05%
23-08-2023,612.01,620.83,620.83,611.26,8.25M,-1.02%
24-08-2023,609.07,616.1,617.1,607.78,7.10M,-0.48%
25-08-2023,603.24,608.97,614.8,591.47,16.08M,-0.96%
28-08-2023,600.55,603.54,606.63,599.7,7.48M,-0.45%
